run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,total_heads,selected_heads,selected_fraction,selected_depth_mean,selected_depth_std,selected_depth_min,selected_depth_max,early_fraction,mid_fraction,late_fraction,margin_mean_all,margin_mean_selected,margin_max_selected
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,784,6,0.007653061224489796,0.5740740740740741,0.07929155912756254,0.4444444444444444,0.7037037037037037,0.0,0.8333333333333334,0.16666666666666666,-0.09702777902956895,0.48615170944408614,0.5712599826237561
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,1920,9,0.0046875,0.4373522458628842,0.15541824977677163,0.1276595744680851,0.6382978723404256,0.3333333333333333,0.6666666666666666,0.0,-0.09370311783859489,0.3704215644542052,0.5340943471698314
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,2560,21,0.008203125,0.3862433862433862,0.11481080904639471,0.09523809523809523,0.6507936507936508,0.23809523809523808,0.7619047619047619,0.0,-0.11211460163610838,0.4175575810412779,0.5868932335635297
qwen-phase2-qwen2.5-7b-instruct-seed0-phase2,qwen2.5-7b-instruct-attn,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,7.0,28,28,8bit,bfloat16,784,24,0.030612244897959183,0.5030864197530863,0.12781653852375716,0.3333333333333333,0.8148148148148148,0.0,0.875,0.125,0.028275601111006122,0.5564588445682616,0.8449823661229523
qwen-phase2-qwen2.5-14b-instruct-seed0-phase2,qwen2.5-14b-instruct-attn,qwen2.5-14b-instruct,Qwen/Qwen2.5-14B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,14.0,48,40,8bit,bfloat16,1920,61,0.03177083333333333,0.3983257760725497,0.09823193728870173,0.14893617021276595,0.6595744680851063,0.29508196721311475,0.7049180327868853,0.0,0.019045823166434436,0.4514438791946053,0.8228377059382462
qwen-phase2-qwen2.5-32b-instruct-seed0-phase2,qwen2.5-32b-instruct-attn,qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,32.0,64,40,4bit,bfloat16,2560,115,0.044921875,0.5164941338854383,0.15956010706773263,0.1111111111111111,0.873015873015873,0.11304347826086956,0.7043478260869566,0.1826086956521739,0.05430298532408297,0.5633857399652629,0.8430090272777212
qwen-phase2-qwen2.5-coder-7b-instruct-seed0-phase2,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-7b-instruct,Qwen/Qwen2.5-Coder-7B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,7.0,28,28,8bit,bfloat16,784,28,0.03571428571428571,0.44841269841269843,0.1340293728699613,0.25925925925925924,0.7407407407407407,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.012490067559333127,0.5435183938393415,0.8679129024346519
qwen-phase2-qwen2.5-coder-14b-instruct-seed0-phase2,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-14b-instruct,Qwen/Qwen2.5-Coder-14B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,14.0,48,40,8bit,bfloat16,1920,46,0.023958333333333335,0.45097132284921354,0.1036294496283142,0.14893617021276595,0.6170212765957447,0.17391304347826086,0.8260869565217391,0.0,-0.006589793169470139,0.5446167977037387,0.8060173990854672
qwen-phase2-qwen2.5-coder-32b-instruct-seed0-phase2,qwen2.5-coder-32b-instruct-attn,qwen2.5-coder-32b-instruct,Qwen/Qwen2.5-Coder-32B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,32.0,64,40,4bit,bfloat16,2560,118,0.04609375,0.6183750336292708,0.19012156554033366,0.20634920634920634,1.0,0.0423728813559322,0.5338983050847458,0.423728813559322,0.03530870712148393,0.6147657927822423,0.9723307634141605
qwen-phase2-qwen3-8b-seed0-phase2,qwen3-8b-attn,qwen3-8b,Qwen/Qwen3-8B,attn-hf,Qwen,Qwen3,base,8.0,36,32,8bit,bfloat16,1152,40,0.034722222222222224,0.4671428571428571,0.12690185827107917,0.22857142857142856,0.6857142857142857,0.15,0.8,0.05,0.011002183928088133,0.5219692722270237,0.8177394207292081
qwen-phase2-qwen3-14b-seed0-phase2,qwen3-14b-attn,qwen3-14b,Qwen/Qwen3-14B,attn-hf,Qwen,Qwen3,base,14.0,40,40,8bit,bfloat16,1600,63,0.039375,0.4782254782254784,0.11477555802889511,0.20512820512820512,0.7692307692307693,0.07936507936507936,0.8571428571428571,0.06349206349206349,0.023127435469468414,0.5549208258627953,0.893081050367765
qwen-phase2-qwen3-32b-seed0-phase2,qwen3-32b-attn,qwen3-32b,Qwen/Qwen3-32B,attn-hf,Qwen,Qwen3,base,32.0,64,64,4bit,bfloat16,4096,36,0.0087890625,0.5013227513227514,0.18326193285029485,0.19047619047619047,0.7777777777777778,0.1388888888888889,0.5555555555555556,0.3055555555555556,-0.0515413696189785,0.6694585204598448,0.8882862027510494
gemma-phase2-gemma-2-9b-it-seed0-phase2,gemma-2-9b-it-attn,gemma-2-9b-it,google/gemma-2-9b-it,attn-hf-no-sys,Gemma,Gemma2,it,9.0,42,16,8bit,bfloat16,672,24,0.03571428571428571,0.46138211382113825,0.14132960216416643,0.21951219512195122,0.7804878048780488,0.16666666666666666,0.7916666666666666,0.041666666666666664,0.07049587026702431,0.4285024017900327,0.8339862168235012
gemma-phase2-gemma-2-27b-it-seed0-phase2,gemma-2-27b-it-attn,gemma-2-27b-it,google/gemma-2-27b-it,attn-hf-no-sys,Gemma,Gemma2,it,27.0,46,32,4bit,bfloat16,1472,53,0.036005434782608696,0.40000000000000013,0.09805943804263971,0.17777777777777778,0.6444444444444445,0.18867924528301888,0.8113207547169812,0.0,0.04063485296716265,0.4684210581943311,0.9760683996856919
gemma-phase2-gemma-3-4b-it-seed0-phase2,gemma-3-4b-it-attn,gemma-3-4b-it,google/gemma-3-4b-it,attn-hf-no-sys,Gemma,Gemma3,it,4.0,34,8,8bit,bfloat16,272,17,0.0625,0.43137254901960786,0.18167832165762435,0.24242424242424243,0.9696969696969697,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.11157276843754747,0.4296136268462205,0.6168749533724536
gemma-phase2-gemma-3-12b-it-seed0-phase2,gemma-3-12b-it-attn,gemma-3-12b-it,google/gemma-3-12b-it,attn-hf-no-sys,Gemma,Gemma3,it,12.0,48,16,8bit,bfloat16,768,25,0.032552083333333336,0.5072340425531915,0.19947236874832994,0.23404255319148937,0.9148936170212766,0.24,0.56,0.2,0.05444425025868934,0.43191515071567255,0.8185142614672204
gemma-phase2-gemma-3-27b-it-seed0-phase2,gemma-3-27b-it-attn,gemma-3-27b-it,google/gemma-3-27b-it,attn-hf-no-sys,Gemma,Gemma3,it,27.0,62,32,4bit,bfloat16,1984,43,0.021673387096774195,0.36637438048036597,0.10570400660125867,0.06557377049180328,0.5573770491803278,0.32558139534883723,0.6744186046511628,0.0,0.01786743057380025,0.3907303399869663,0.7636724735174313
